22-rdf-syntax-ns#type_0;22-rdf-syntax-ns#type_1;22-rdf-syntax-ns#type_2;22-rdf-syntax-ns#type_3;22-rdf-syntax-ns#type_4;22-rdf-syntax-ns#type_5;22-rdf-syntax-ns#type_6;22-rdf-syntax-ns#type_7;alias_0;birthDate_0;birthDate_1;birthPlace_0;birthPlace_1;birthPlace_2;birthPlace_3;country_0;country_1;dateOfBirth_0;description_0;ethnicity_0;ethnicity_1;eyeColor_0;gender_0;givenName_0;hairColor_0;id_0;id_1;name_0;name_1;name_2;name_3;numberOfFilms_0;occupation_0;placeOfBirth_0;placeOfBirth_1;shortDescription_0;surname_0;weight_0
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1979-06-05;;Charente;Cognac;Charente;Cognac;;;1979;;France;France;Brown;male;Francois;Dark hair/;2088684;44355;François Sagat;Sagat, Francois;Francois Sagat;François Sagat;;;Charente;Cognac;;Sagat;82.5552
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1949-10-14;1949-10-14;Mauritius;Mauritius;;;;;14;Actress/Celebrity Liaison & Event Organiser;White;;Brown;;Francoise;Brown;;;Françoise Pascal;Pascal, Francoise;Francoise Pascal;Françoise Pascal;13;;Mauritius;;Actress/Celebrity Liaison & Event Organiser;Pascal;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Erica Estrada;1970-12-28;1970-12-28;California;Los_Angeles;USA;United_States;;;1970-12-28;American pornographic actor;;;Hazel;female;Francesca;Brunette;737;Francesca;Francesca Le;Le, Francesca;Francesca Le;;265;;California;Los_Angeles;American pornographic actor;Le;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Mara Maresco, Francesca Rosa;;;France;French_Riviera;France;French_Riviera;;;1963;;French_people;French_people;Blue;female;Francesca;Blond;440;Francesca_01;Francesca Petitjean;Petitjean, Francesca;Francesca Petitjean;;;;France;French_Riviera;;Petitjean;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1979-01-29;1979-01-29;Italy;Rome;Italy;Rome;;;1979-01-29;;Italy;Italy;Blue;male husband: Damien Crosse;Francesco;Brown;FrancescoDMacho;;Dmacho, Francesco;Francesco D'Macho;Francesco D'Macho;Francesco Dmacho;7;;Italy;Rome;;Dmacho;95.256
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Francesco Malcon, F. Malcom, F.co Malcom, F'co Malcolm, Franco Trulli, Francesco Malcolm;1971-11-27;;Bari;Italy;Bari;Italy;;;1971;;Caucasian;;;male;Francesco;Brown;FMalcolm;;Francesco Malcom;Malcom, Francesco;Francesco Malcom;;;;Bari;Italy;;Malcom;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Arnaud, Francois Dumas, François Dumas, Francios, Francois, François, Tim Hardin, Jean-Jacques LeBon, Francoise Papillion, Francois Papillion, Francouis Papillion, Francoise Papillon, Frank Papillon, Papillon, Francons Papillow, Francois Pappillion;1958-12-09;;France;Paris;;;;;9;;French_people;French_people;blue;;;blonde;1898;francois/gender=m/francois.htm;Francois Papillon;Francois;Francois Papillon;;;;France;Paris;;;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Wong Cheung-fat;1985-03-28;1985-03-28;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;28;Hong Kong actor;;;;;Francois Wong;;;;Cheung-Fat, Francois Wong;François Huỳnh;Francois Wong Cheung-Fat;François Huỳnh;;Actor;Hong Kong;;Hong Kong actor;Cheung-Fat;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Firoz Lang, Attila, Ferenc Juhacz, Francois Fusil, Ferenc Juhac, Ferenc Juhasz, Ferenc Ilsijk, Frank Curl, Frank Hungaris, Frank Gizeh, Frank Gunn, Frank Mallone, Frank Malone;1971-02-23;;Hungary;Hungary;;;;;1971;;Caucasian;;;male;Frank;Brown;1040;FJuhac;Frank Gun;Gun, Frank;Frank Gun;;;;Hungary;;;Gun;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Frank Mayor, Ferenc Gabor, Ferenz, Frank M., Frank Meyer, Mark Harris, Ferenc Major, Franco Terenzi, Frank Mayer;1970-10-03;1970-10-03;Budapest;Hungary;Budapest;Hungary;;;1970-10-03;;Hungarian_people;Hungarian_people;blue;male;Frank;blonde;1537;;Frank Major;Major, Frank;Frank Major;;279;;Budapest;Hungary;;Major;86.184
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Frank Towers, Ted Hunter, Doug Sheppard;1968-06-15;;;;;;;;1968;;Caucasian;;Green;male;Mark;Brown;428;FTowers&gender=m;Frank Towers;Slade, Mark;Frank Towers;Mark Slade;;;;;;Slade;108.864
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1924-04-11;11;Northcote,_Victoria;Northcote, Victoria;;;;;11;Australian actor;;;;;Frank;;;;Frank Wilson;Wilson, Frank;Frank Wilson;;;Actor, Singer, Director, TV Host;;;Australian actor;Wilson;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1955-11-30;1955-11-30;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;30;;;;;;Frankie;;150894;;Chan, Frankie;Frankie Chan;Chén Xūnqí;Frankie Chan;;actor, fim director, film producer, composer;Hong_Kong;;;Chan;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1967-12-19;1967-12-19;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;19;;;;;;Frankie;;;;Frankie Lam;Lam, Frankie;Frankie Lam;Lam Man Lung;;Actor;Hong_Kong;;;Lam;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Freddy Dalton, Fredy Dalton;1970-10-07;1970-10-07;Burghausen;Germany;Burghausen, Germany;;;;1970-10-07;;;;;male;Freddy;;9460;FDalton;Dalton, Freddy;Freddy Dalton;Freddy Dalton;;;;Burghausen, Germany;;;Dalton;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Elizea;1971-07-14;1971-07-14;Oregon;Salem,_Oregon;United_States;Oregon;;;1971-07-14;American pornographic actor;Caucasian;;Brown;female;;Light brown;23457;Friday;Friday;Friday;;;170;;Oregon;Salem,_Oregon;American pornographic actor;;50.8032
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Love;1988-02-10;1988-02-10;Okinawa, Japan;;;;;;1988-02-10;;Ryukyuan;;Brown;;;Brown;;;Fuko;Fuko;;;;;Okinawa, Japan;;;;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1971-09-02;1971-09-02;Aomori_Prefecture;Aomori_prefecture;Japan;Mutsu,_Aomori;;;1971-09-02;;Japanese_people;Japanese_people;;;Fumie;Black;396089;;Fumie Hosokawa;Hosokawa, Fumie;Fumie Hosokawa;;;;Aomori_Prefecture;Aomori_prefecture;;Hosokawa;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1964-09-14;1964-09-15;Mexico;Mexico_City;Mexico;Mexico_City;;;1964-09-15;Actor;;;;;Gabriela;;;;Gabriela Rivero Abaroa;Rivero, Gabriela;Gabriela Rivero Abaroa;Gabriela Rivero;;;Mexico;Mexico_City;Actor;Rivero;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1989-02-24;;California;Los Angeles, California, USA;;;;;1989;American pornographic actor;;;Brown;female;Gabriella;Black;49774;GabriellaFox;Fox, Gabriella;Gabriella Fox;Gabriella Fox;;;;Los Angeles, California, USA;;American pornographic actor;Fox;43.092
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Laura Saldivar, Gabriella Skye;1966-07-18;1966-11-11;California;Los_Angeles;California;Los_Angeles;;;1966-07-18;;Italian_people;Italians;;;Gabriella;;;;Gabriella Hall;Hall, Gabriella;Gabriella Hall;;;;California;Los_Angeles;;Hall;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Christy Brian, Cristy Brian;1966-07-25;1966-07-25;;;;;;;1966-07-25;American pornographic film actor;Caucasian;;;female;Gail;Blonde;622;GForce;Force, Gail;Gail Force;Gail Force;;174;;;;American pornographic film actor;Force;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1968-12-30;1968-12-30;England;Liverpool;United_Kingdom;England;;;30;;Caucasian_race;Caucasian_race;;female;Gail;Brown_hair;;;Gail McKenna;Mckenna, Gail;Gail McKenna;Gail Mckenna;;;England;Liverpool;;Mckenna;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1962-12-16;1962-12-16;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;16;;;;;;Gallen;;991859;;Gallen Lo;Lo, Gallen;Gallen Lo;Lo4 Gaa1leong4;;Actor;Hong_Kong;;;Lo;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;;;Japan;Kanagawa_Prefecture;Japan;Kanagawa_Prefecture;;;1958;;Japanese_people;Japanese_people;;male;Ganari;;;;Ganari Takahashi;Takahashi, Ganari;Ganari Takahashi;;;;Japan;Kanagawa_Prefecture;;Takahashi;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1975-10-05;1975-10-05;Beijing;Beijing, China;;;China;People's_Republic_of_China;1975-10-05;;;;;;Yuanyuan;;;;Gao Yuanyuan;Gao, Yuanyuan;Gao Yuanyuan;Gāo Yuányuán;;Actress;Beijing;;;Gao;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1945-02-12;1945-02-12;Wales;Wales, UK;;;;;12;;;;;;Gareth;;858848;;Gareth Thomas;Thomas, Gareth;Gareth Thomas;;;Actor;;;;Thomas;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Gauge, Gage, Guage, Paige, Sally Gauge;1980-07-24;1980-07-24;Arkansas;Hot_Springs,_Arkansas;United_States;Arkansas;;;1980-07-24;American pornographic actor;Caucasian_race;Caucasian_race;Green;female;;Brown;23500;Gauge;Gauge;Gauge;;;Approx. 150;;Arkansas;Hot_Springs,_Arkansas;American pornographic actor;;42.1848
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1981-09-25;1981-09-25;Belfast;Northern_Ireland;United_Kingdom;Belfast;;;25;;;;;female;Gemma;;;;Garrett, Gemma;Gemma Garrett;Gemma Garrett;;;;Belfast;Northern_Ireland;;Garrett;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Gen;1981-08-02;1981-08-02;California;United_States;veracruz;;;;1981-08-02;American pornographic actor;Caucasian;;Light Brown;female;Gen;Natural: Strawberry;2993;Gen;Gen Padova;Padova, Gen;Gen Padova;;320;;California;United_States;American pornographic actor;Padova;42.6384
Actor;Agent;Artist;Person;Person;owl#Thing;core#Concept;Person;Genie Zhuo, Xuan Xuan (萱萱), Xiao Mi (小咪);1986-01-20;1986-01-20;Taiwan;;;;China;People's_Republic_of_China;1986-01-20;;;;;;Genie;;;;Chuo, Genie;Genie Chuo;Genie Chuo;Zhuó Wénxuān;;Actor;Taiwan;;;Chuo;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1906-09-02;1906-09-02;;;;;;;1906-09-02;;;;;;George;;;;George Gordon;Gordon, George;George Gordon;;;Animator;;;;Gordon;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1982-07-24;1982-07-24;New_York;New York City, New York;;;China;People's_Republic_of_China;24;;;;;;George;;;;George Hu;Hu, George;George Hu;Hu Yu Wei;;Actor;New York;;;Hu;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Ah Lam (Chinese);1947-10-12;1947-10-12;;;;;China;People's_Republic_of_China;1947-10-12;;;;;;George;;482614;;George Lam Chi Cheung;George Lam;Lam, George;George Lam Chi Cheung;;Actor;;;;Lam;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1994-01-31;1994-01-31;Lower_Hutt;New_Zealand;Lower_Hutt;;;;31;Actor and dancer;;;;;Georgia;;;;Fabish, Georgia;Georgia Fabish;;;;Dancer, Actress, Ex-SpiceGurl;Wellington, New Zealand;;Actor and dancer;Fabish;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;GJ;1988-04-04;1988-04-04;Fort_Smith,_Arkansas;United_States;;;;;1988-04-04;"Pornographic film actress; Adult model";Irish;;Grey;;Georgia;Dark brown;;;Georgia Jones;Jones, Georgia;Georgia Jones;;75;;Fort Smith, Arkansas, United States;;"Pornographic film actress; Adult model";Jones;49.896
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1980-08-27;1980-08-27;Georgia_(U.S._state);United_States;Georgia_(U.S._state);United_States;;;1980-08-27;American pornographic actor;Caucasian;;;female;Georgia;Brown;35813;GeorgiaSouthe;Georgia Southe;Southe, Georgia;Georgia Southe;;45;;Georgia_(U.S._state);United_States;American pornographic actor;Southe;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Shelley Abels, Claudia Clitoris, Tia Von Davis, Dorothy May, Merle Miller, Ruth Raymond, Georgette Spelvin, Ona Tural;1936-03-01;;Texas;United_States;Texas;United_States;;;1936;American pornographic actor;White_people;Whites;Brown;female;Georgina;Black;825;Spelvin;Georgina Spelvin;Spelvin, Georgina;Georgina Spelvin;;;;Texas;United_States;American pornographic actor;Spelvin;53.5248
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1977-07-30;1977-07-30;;;;;;;1977-07-30;American pornographic film actor, pornographic film director, and businesswoman;Hispanic/Latino;;;female;Gia;Blonde;22335;;Darling, Gia;Gia Darling;Gia Darling;;;;;;American pornographic film actor, pornographic film director, and businesswoman;Darling;56.2464
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1984-06-27;1984-06-27;Diamond_Bar,_California;Diamond Bar, California, United States;;;;;1984-06-27;American pornographic actress and movie director;Italian;;Green;female;Gia;Black;31604;GiaPaloma;Gia Paloma;Paloma, Gia;Gia Paloma;;316;;Diamond Bar, California, United States;;American pornographic actress and movie director;Paloma;52.164
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Gianna Joylynn, Gianna Jolynn;1984-12-03;;;;;;;;1984;American pornographic actor;Chinese_people;Spanish_people;;female;Gianna;Brown;38125;GiannaLynn;Gianna Lynn;Lynn, Gianna;Gianna Lynn;;193;;;;American pornographic actor;Lynn;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Becky;1983-06-06;1983-06-06;Seattle;Washington_(U.S._state);Washington_(state);Seattle, Washington, U.S.;;;1983-06-06;American pornographic actor;;;Blue;female;Gianna;Brown;38386;Gianna05;Gianna Michaels;Michaels, Gianna;Gianna Michaels;;388;;Seattle, Washington, U.S.;;American pornographic actor;Michaels;65.772
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1944-12-29;1944-12-29;;;;;;;1944-12-29;;;;;;Gifford III;;;;Gifford Pinchot III;Pinchot, Gifford III;Gifford III Pinchot;Gifford Pinchot III;;;;;;Pinchot;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1971-10-01;;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;1971;;;;;;Gigi;;;;Gigi Lai;Lai, Gigi;Gigi Lai;Lai Zi1;;Actress, singer;Hong_Kong;;;Lai;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Leung Wing-Kei;1976-03-25;;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;1976;;;;;;Gigi;;;;Gigi Leung;Leung, Gigi;Gigi Leung;Leung Wing-Kei;;Actor;Hong_Kong;;;Leung;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1962-07-06;1962-07-06;Hong_Kong;Hong Kong;;;China;People's_Republic_of_China;6;;;;;;Gilbert;;;;Gilbert Lam Wai Sun;Lam, Gilbert;Gilbert Lam Wai Sun;Gilbert Lam;;Actor;Hong_Kong;;;Lam;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Kiu Bo Bo;1976-04-23;1969-04-23;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;23;;;;;;Gill Mohindepaul;;;;Gill Mohinderpaul Singh;Singh, Gill Mohindepaul;Gill Mohindepaul Singh;Gill Mohinderpaul Singh;;Actor;Hong_Kong;;;Singh;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Ah-kiu;1981-01-21;1981-01-21;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;21;;;;;;Gillian;;1239735;;Chung, Gillian;Gillian Chung;Gillian Chung;Zhōng Xīntóng;;Singer-songwriter, composer, music arranger, actress;Hong Kong;;;Chung;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1969-06-09;1969-06-09;Pennsylvania;Pittsburgh;Pittsburgh,_Pennsylvania;Pennsylvania;;;1969-06-09;American actor;Italian-American;Italian_American;Green;f;Gina;Auburn;482815;986;Gina LaMarca;Lamarca, Gina;Gina LaMarca;Gina Lamarca;;;Pennsylvania;Pittsburgh;American actor;Lamarca;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1974-02-15;;Mayag%C3%BCez,_Puerto_Rico;Mayag%C3%BCez,_Puerto_Rico;;;;;1974;Puerto Rican pornographic actress;Italians;Puerto_Rican_people;Blue;female;Gina;Dark Brown;23516;GinaLynn;Gina Lynn;Lynn, Gina;Gina Lynn;;148;;Mayag%C3%BCez,_Puerto_Rico;;Pornographic_film_actor;Lynn;48.0816
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;;;New_York_City;United_States;New_York_City;United_States;;;;American pornographic actor;Caucasian;;Blue;female;Gina;Blonde;43370;GinaMond;Gina Mond;Mond, Gina;Gina Mond;;1;;New_York_City;United_States;American pornographic actor;Mond;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Gina Lascano, Gina Rider;1977-01-23;;San_Antonio;Texas;United_States;United_States_of_America;;;1977;American pornographic actor;Latina;;Brown;female;Gina;Brown;1083;GinaRyder;Gina Ryder;Ryder, Gina;Gina Ryder;;313;;San_Antonio;Texas;American pornographic actor;Ryder;48.5
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Ginger Lynn, Ginger Allen;1962-12-14;;Illinois;Rockford,_Illinois;Rockford, Illinois, U.S.;;;;1962;American pornographic actor;White_people;Whites;Blue;female;Ginger;Blonde;26;GLynn;Ginger Lynn;Lynn, Ginger;Ginger Lynn;;1;;Rockford, Illinois, U.S.;;American pornographic actor;Lynn;49.896
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1931-12-22;1931-12-22;Ore_Mountains;Ore_Mountains_(Germany);Ore_Mountains;Ore_Mountains_(Germany);;;1931-12-22;German hurdler;;;;;Gisela;;;;Birkemeyer, Gisela;Gisela Birkemeyer;Gisela Birkemeyer;;;;Ore_Mountains;Ore_Mountains_(Germany);German hurdler;Birkemeyer;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;C. Gale Leonard, Gail Leonard, Gayle Leonard;1940-08-28;;The_Bronx;The_Bronx,_New_York;The Bronx, New York, U.S.;;;;1940;"American pornographic film actress; feminist publisher and activist";Caucasian;;Brown;female;Gloria;Brown with gold highlights;2408;Leonard;Gloria Leonard;Leonard, Gloria;Gloria Leonard;;36;;The Bronx, New York, U.S.;;"American pornographic film actress; feminist publisher and activist";Leonard;71.2152
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1973-01-13;1973-01-13;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;13;Hong Kong actor and singer;;;;;Gloria;;;;Gloria Yip Wan-Yee;Yip, Gloria;Gloria Yip Wan-Yee;Gloria Yip;;Actor;Hong_Kong;;Hong Kong actor and singer;Yip;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1916-12-04;;Jiangsu;Republic_of_China;Taiwan;Jiangsu;China;People's_Republic_of_China;1916;;;;;;Qiuxia;;;;Gong Qiuxia;Gong, Qiuxia;Gong Qiuxia;Qiuxia Gong;;Actor;Jiangsu;Republic_of_China;;Gong;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1967-09-21;1967-09-21;Hong_Kong;Hong Kong;;;China;People's_Republic_of_China;1967-09-21;;;;;;Ka-Tung;;;;Gordon Lam;Lam, Ka-Tung;Gordon Lam;Ka-Tung Lam;;actor;Hong Kong;;;Lam;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1955-08-22;;China;Guangdong;Guangdong Province, China;;China;People's_Republic_of_China;1955;Chinese martial arts film actor and adopted brother of Lau Kar-leung;;;;;Gordon;;;;Gordon Liu;Liu, Gordon;Gordon Liu;Lau4 Gaa1fai1;;Martial_arts_film;Guangdong Province, China;;Chinese martial arts film actor and adopted brother of Lau Kar-leung;Liu;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1933-06-13;1933-06-13;Shanghai;Shanghai;;;China;People's_Republic_of_China;1933-06-13;;;;;;Grace;;151700;;Chang, Grace;Grace Chang;Grace Chang;Gě Lán;;Actor;Shanghai;;;Chang;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1986-05-05;1986-05-05;Hong_Kong;;;;China;People's_Republic_of_China;1986-05-05;American actor;;;;;Grace;;;;Grace Wong;Wong, Grace;Grace Wong;Wong4 Gwan1 Hing1;;Actor;Hong_Kong;;American actor;Wong;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1990-09-30;1990-09-30;Miami;Miami,_Florida;Raleigh, North Carolina, USA;;;;1990-09-30;American pornographic actor;Dutch;;Green;Female;Gracie;Brown;53814;GracieGlam;Glam, Gracie;Gracie Glam;Gracie Glam;;205;;Miami, Florida, USA;;American pornographic actor;Glam;49.896
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Greg Centauro, Greg C., Mark De Lorenzi, Ralph Gotti;1977-01-10;1977-01-10;France;France;Marseille;;;;1977-01-10;;France;French;Brown;male;Greg;Dark;31658;GCentauro;Centauro, Greg;Greg Centauro;Greg Centauro;;Over 300;;France;;;Centauro;68.04
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;;;Dallas;Texas;Dallas;Texas;;;;;;;;male;;;;;Greg Headley;Headley, Gregory, D.;Greg Headley;Headley, Gregory, D.;;;Dallas;Texas;;;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1953-05-27;27;Leicester;Leicester;;;;;27;;;;;;Greg;;;;Greg Hicks;Hicks, Greg;Greg Hicks;;;Actor;;;;Hicks;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1959-05-29;1959-05-29;Rio_de_Janeiro;Rio_de_Janeiro,_Brazil;Rio_de_Janeiro;Rio_de_Janeiro,_Brazil;;;1959-05-29;;Brazilian;;Black;female;;Black;;;Gretchen;Gretchen;;;3;;Rio_de_Janeiro;Rio_de_Janeiro,_Brazil;;;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Even Wu;1989-08-11;1989-08-11;Republic_of_China;Taiwan;Taiwan_Province;Republic_of_China;China;People's_Republic_of_China;1989-08-11;;;;;;;;;;Gui Gui;Gui Gui;鬼鬼;;;Actor;Republic_of_China;Taiwan;;;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;c. 1998 / 1999;;Australia;Melbourne, Australia;;;;;;;;;;;Gulliver;;;;Gulliver McGrath;McGrath, Gulliver;Gulliver McGrath;;;;;;;McGrath;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;--01-18;;China;Tianjin;China;Tianjin;China;People's_Republic_of_China;1973;;;;;;Degang;;;;Guo Degang;Guo, Degang;Degang Guo;Guo Degang;;Xiangsheng;China;Tianjin;;Guo;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1969-12-17;1969-12-17;Beijing;China;Beijing;China;China;People's_Republic_of_China;1969-12-17;;;;;;Tao;;;;Guo Tao;Guo, Tao;Guo Tao;Guō Tāo;;Actor;Beijing;China;;Guo;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Guy DeSilver, Guy De Silva, Guy Di Sylva, Guy Di Silva, Eury, Guy DiSilva;1956-07-11;;New_York_City;United_States;New_York_City;United_States;;;1956;American pornographic actor;Multi-ethnic;;;male;Guy;Brown;1475;GDeSilva;Disilva, Guy;Guy DiSilva;Guy DiSilva;Guy Disilva;;;New_York_City;United_States;American pornographic actor;Disilva;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1981-05-07;1981-05-07;Benguet;Philippines;Benguet;Philippines;;;1981-05-07;Actor;Filipino_people;Filipino_people;;;Gwen;;;;Garci, Gwen;Gwen Garci;Gwen Garci;;;;Benguet;Philippines;Actor;Garci;49.896
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Gwin Summers, Gwenn Summers;13;;;;;;;;1978;American pornographic actor;Caucasian_race;Caucasian_race;Blue;female;Gwen;Red;824;GwenSummers;Gwen Summers;Summers, Gwen;Gwen Summers;;212;;;;American pornographic actor;Summers;52.164
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1967-12-06;1967-12-06;;;;;China;People's_Republic_of_China;6;;;;;;Hacken;;;;Hacken Lee;Lee, Hacken;Hacken Lee;lei5 hak1 kan4;;Actor;;;;Lee;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;;;;;;;;;1975;;;;Brown;;Hal;Dark Brown;;;Hal Rockland;Rockland, Hal;Hal Rockland;;;;;;;Rockland;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Haley, Hailey Page, Haley Banks, Haley Hunter, Irene;1981-12-30;;Chihuahua_(state);Mexico;Chihuahua,_Mexico;;;;1981;pornographic actress;Mexican_people;Welsh_people;Brown;;Haley;Brown;31757;HaleyPaige;Haley Paige;Paige, Haley;Haley Paige;;313;;Chihuahua_(state);Mexico;pornographic actress;Paige;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Halli Ashton;1977-01-24;1977-01-24;Fountain_Valley,_California;United_States;Fountain_Valley,_California;United_States;;;1977-01-24;American pornographic actor;Caucasian;;;female;Halli;Red;593;HAston;Aston, Halli;Halli Aston;Halli Aston;;42;;Fountain_Valley,_California;United_States;American pornographic actor;Aston;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1973-01-25;;;;;;;;25;Norwegian politician;;;;;Hallvard;;;;Aamlid, Hallvard;Hallvard Aamlid;Hallvard Aamlid;;;;;;Norwegian politician;Aamlid;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1984-02-09;1984-02-09;China;Heilongjiang;Mudanjiang;China;China;People's_Republic_of_China;1984-02-09;Chinese singer, actor;;;;;Geng;;;;Han Geng;Han, Geng;Geng Han;Han Geng;;Singer, dancer, actor, model;Mudanjiang, Heilongjiang, China;;Chinese singer, actor;Han;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1988-05-03;;Singapore;Singapore;;;China;People's_Republic_of_China;1988;;;;;;Han;;;;Han Shengguang Justin;Shengguang, Han;:韩生光;Han Shengguang Justin;;Actor;Singapore;;;Shengguang;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1984-10-31;1984-10-31;Brookville,_Indiana;Brookville,_Indiana;;;;;1984-10-31;American pornographic actor;;;Blue;female;Hanna;Blond;47968;HannaHilton;Hanna Hilton;Hilton, Hanna;Hanna Hilton;;;;Brookville,_Indiana;;American pornographic actor;Hilton;58.968
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Hanna Harper, Hannah Hunter, Hanna Oxx;1982-07-04;1982-07-04;Brixham;Devon;England;United_Kingdom;;;4;;Caucasian_race;Caucasian_race;Gray/Green/Blue;female;Hannah;Blonde;23787;Hanna_00;Hannah Harper;Harper, Hannah;Hannah Harper;;166;;Brixham;Devon;;Harper;56.7
